downloadable_link	catalog_product_entity
downloadable_link_price	downloadable_link
downloadable_link_price	store_website
downloadable_link_purchased	customer_entity
downloadable_link_purchased	sales_order
downloadable_link_purchased_item	sales_order_item
downloadable_link_purchased_item	downloadable_link_purchased
downloadable_link_title	downloadable_link
downloadable_link_title	store
downloadable_sample	catalog_product_entity
downloadable_sample_title	downloadable_sample
downloadable_sample_title	store
eav_attribute	eav_entity_type
eav_attribute_group	eav_attribute_set
eav_attribute_label	eav_attribute
eav_attribute_label	store
eav_attribute_option	eav_attribute
eav_attribute_option_swatch	store
eav_attribute_option_swatch	eav_attribute_option
eav_attribute_option_value	store
eav_attribute_option_value	eav_attribute_option
eav_attribute_set	eav_entity_type
eav_entity	eav_entity_type
eav_entity	store
eav_entity_attribute	eav_attribute
eav_entity_attribute	eav_attribute_group
eav_entity_datetime	eav_entity
eav_entity_datetime	store
eav_entity_datetime	eav_entity_type
eav_entity_decimal	eav_entity
eav_entity_decimal	eav_entity_type
eav_entity_decimal	store
eav_entity_int	eav_entity
eav_entity_int	eav_entity_type
eav_entity_int	store
eav_entity_store	eav_entity_type
eav_entity_store	store
eav_entity_text	eav_entity
eav_entity_text	eav_entity_type
eav_entity_text	store
eav_entity_varchar	eav_entity
eav_entity_varchar	eav_entity_type
eav_entity_varchar	store
eav_form_element	eav_attribute
eav_form_element	eav_form_fieldset
eav_form_element	eav_form_type
eav_form_fieldset	eav_form_type
eav_form_fieldset_label	store
eav_form_fieldset_label	eav_form_fieldset
eav_form_type	store
eav_form_type_entity	eav_form_type
eav_form_type_entity	eav_entity_type
googleoptimizer_code	store
integration	oauth_consumer
inventory_order_notification	sales_order
inventory_pickup_location_order	sales_order
inventory_pickup_location_quote_address	quote_address
inventory_source_carrier_link	inventory_source
inventory_source_item	inventory_source
inventory_source_stock_link	inventory_stock
inventory_source_stock_link	inventory_source
inventory_stock_sales_channel	inventory_stock
layout_link	layout_update
layout_link	store
layout_link	theme
login_as_customer_assistance_allowed	customer_entity
magento_acknowledged_bulk	magento_bulk
magento_operation	magento_bulk
media_gallery_asset_keyword	media_gallery_asset
media_gallery_asset_keyword	media_gallery_keyword
newsletter_problem	newsletter_queue
